1,266,PILAR CALVO,373000,90,5,0
2,586,MARIA ISABEL GUERRERO,42400,50,18370,3
1,389,ANDREA SERRANO,343000,170,3,0
2,497,SOFIA HERNANDEZ,87200,130,47310,3
1,525,MARTIN MOLINA,232800,160,4,1
2,649,SANTIAGO HERRERO,219800,160,96840,3
1,731,LUIS MIGUEL RUIZ,111600,170,3,0
1,386,MARIA ANGELES GUERRERO,35200,120,4,0
2,223,AMPARO SOLER,461600,80,24840,3
2,219,FRANCISCO GARRIDO,368300,50,22890,2
2,543,MONICA SERRANO,220700,40,56450,6
2,542,JOSEFA LORENZO,365600,190,74860,1
2,367,NOELIA FLORES,432100,80,85520,0
2,720,JOSE CARLOS VICENTE,265200,160,79280,3
2,229,JOSE ANTONIO PEÑA,67200,160,33130,6
1,787,SONIA RAMOS,390400,70,3,1
2,395,VICENTE VEGA,577700,160,25600,2
2,823,NICOLAS DIAZ,428500,150,2230,4
2,632,TOMAS ORTEGA,308700,180,28940,5
2,852,DAVID DURAN,331000,90,27710,2
1,175,GONZALO FUENTES,295500,50,2,1
1,259,INES CRESPO,279500,130,2,1
1,540,PAULA SANZ,273800,190,5,0
1,537,SONIA SANCHEZ,368200,80,4,1
1,444,PATRICIA DURAN,15500,190,4,1
1,372,PABLO MOLINA,497900,180,1,1
1,645,JOSEP GARRIDO,364600,180,3,0
2,282,MARIA JESUS DIAZ,91000,160,22790,3
2,856,JOSE LUIS MORA,367400,90,4390,3
2,962,ESPERANZA VAZQUEZ,29200,180,61120,4
1,925,RAFAEL SUAREZ,594600,200,4,0
2,482,MANUELA FERNANDEZ,194300,90,39140,1
2,615,AMPARO SOLER,219800,130,78820,1
2,319,HUGO ESTEBAN,289600,90,62260,3
1,471,JOSE CARLOS GOMEZ,102900,200,3,1
1,974,PAULA MEDINA,575600,80,5,1
2,915,MARIA TERESA ESTEBAN,55800,70,26700,1
1,943,BEATRIZ RAMIREZ,371200,50,2,1
2,595,CAROLINA GALLARDO,403800,40,58130,5
1,589,ANGELES DIAZ,550300,60,5,0
1,917,ANGELES MORALES,548000,110,2,1
1,781,SILVIA GUTIERREZ,290500,170,1,1
1,269,BEATRIZ SANZ,107700,180,1,0
1,419,INMACULADA ESTEBAN,22000,110,1,0
2,629,SERGIO SANTOS,249800,100,61270,5
2,755,MARIA JOSE ESTEBAN,7000,80,4690,0
1,700,CLAUDIA GUTIERREZ,356400,150,5,1
1,167,INES HIDALGO,427000,140,3,1
1,981,IGNACIO FERNANDEZ,488000,150,5,0
1,199,ROSARIO JIMENEZ,98500,110,3,1
1,663,PATRICIA ESTEBAN,453000,60,5,0
1,509,CRISTOBAL CAMPOS,250700,150,5,0
1,324,ESTEBAN CABRERA,168100,50,4,0
2,457,JAIME MARTINEZ,543800,120,56120,1
2,271,ALEJANDRO MORA,567600,80,99800,0
